#Stereo rect[ms], MP culling[ms], MP creation[ms], LBA[ms], KF culling[ms], Total[ms]
1.789402,0.000116,1.981287,0.221823,0.221823,7.260871
1.059730,0.000096,2.008003,0.228696,0.228696,6.463016
0.802957,0.000075,4.292064,0.326050,0.326050,8.629016
1.623022,0.000096,2.047480,0.290813,0.290813,7.354736
1.073287,0.000089,1.765220,0.226877,0.226877,6.309747
0.909729,0.000119,1.932557,0.257085,0.257085,7.370986
0.947675,0.000095,1.756271,0.221914,0.221914,5.873216
1.381454,0.000090,2.588009,0.267796,0.267796,7.451119
1.222352,0.000057,2.053469,0.228144,0.228144,6.554279
1.293402,0.000149,2.662158,0.365739,0.365739,8.748384
0.893102,0.000086,2.195959,0.232556,0.232556,6.598430
1.173533,0.000170,2.298967,0.361617,0.361617,8.074988
0.979686,0.000222,1.930138,0.221729,0.221729,6.047917
1.082269,0.000091,1.943554,0.273317,0.273317,6.833932
0.735621,0.000109,10.164770,0.240378,0.240378,14.488840
0.647262,0.000104,1.714126,0.209552,0.209552,5.356144
0.867630,0.000105,1.646422,0.208546,0.208546,5.397247
0.687180,0.000098,1.402963,0.204976,0.204976,4.918960
0.630853,0.000063,1.418670,0.209934,0.209934,5.019724
0.615939,0.000079,1.565058,0.201451,0.201451,5.224217
0.637195,0.000107,1.297761,0.205864,0.205864,5.482637
0.787069,0.000088,1.381043,0.210013,0.210013,4.909085
0.654219,0.000066,1.753547,0.223788,0.223788,5.644068
1.148632,0.000097,1.593684,0.209059,0.209059,5.511769
0.664287,0.000071,1.472348,0.201744,0.201744,5.210097
0.913290,0.000143,2.403074,0.267313,0.267313,7.755698
0.763346,0.000076,1.667329,0.214863,0.214863,5.400391
0.943893,0.000143,2.002643,0.214892,0.214892,5.869783
0.993462,0.000085,1.634073,0.216633,0.216633,5.704940
1.101285,0.000091,1.826739,0.224090,0.224090,5.919143
1.049415,0.000074,2.043027,0.234462,0.234462,6.336601
1.072466,0.000150,1.762398,0.224616,0.224616,5.877444
0.831375,0.000083,1.837076,0.222765,0.222765,5.767898
0.802758,0.000119,1.664554,0.206823,0.206823,5.461373
0.875168,0.000075,1.781069,0.250879,0.250879,6.583517
0.850860,0.000146,1.785748,0.203603,0.203603,5.571826
1.086760,0.000189,2.147463,0.321463,0.321463,7.043258
0.907709,0.000107,1.515754,0.197082,0.197082,5.164961
1.089398,0.000138,10.047799,0.280100,0.280100,15.015564
0.704006,0.000074,1.488048,0.224691,0.224691,5.197572
0.840744,0.000090,1.467700,0.212759,0.212759,5.031215
0.949761,0.000243,4.091685,0.273104,0.273104,7.898593
0.568923,0.000081,1.241731,0.219024,0.219024,4.551646
0.504278,0.000080,1.349074,0.184208,0.184208,4.744222
0.461334,0.000059,1.029314,0.209485,0.209485,3.889937
0.567187,0.000059,1.197731,0.176633,0.176633,4.528166
0.657092,0.000065,1.173839,0.237057,0.237057,4.131648
0.459936,0.000086,1.022601,0.239694,0.239694,4.802471
0.424083,0.000104,0.910432,0.182377,0.182377,4.109812
0.457251,0.000079,1.177712,0.259536,0.259536,5.344547
0.494345,0.000072,0.940260,0.172862,0.172862,3.874612
0.370942,0.000084,0.958461,0.159537,0.159537,3.493947
0.689165,0.000063,1.334590,0.279459,0.279459,5.645579
0.435577,0.000076,0.988640,0.169360,0.169360,4.271981
1.055399,0.000185,3.207065,0.211888,0.211888,6.972516
0.707132,0.000082,1.243894,0.231479,0.231479,6.250505
1.034487,0.000110,3.138607,0.302100,0.302100,7.981307
1.099580,0.000227,6.656746,0.186159,0.186159,10.492191
0.801961,0.000064,2.330304,0.180423,0.180423,5.790133
0.826383,0.000136,1.489699,0.184627,0.184627,4.922500
0.728448,0.000078,1.683906,0.193481,0.193481,5.040997
0.742807,0.000065,1.618267,0.219067,0.219067,5.284212
1.111286,0.000087,5.779398,0.190915,0.190915,9.770167
0.752083,0.000119,1.580638,0.227664,0.227664,5.714365
0.761403,0.000089,3.621065,0.188772,0.188772,6.784359
1.043667,0.000197,2.054482,0.267526,0.267526,5.999238
0.831306,0.000067,1.619656,0.187054,0.187054,5.048626
0.697963,0.000087,1.717602,0.186997,0.186997,5.193344
1.045431,0.000104,1.878307,0.245462,0.245462,5.778777
0.811726,0.000132,1.449242,0.182823,0.182823,4.823121
0.765665,0.000127,1.316411,0.188579,0.188579,4.454793
1.067666,0.000093,1.359010,0.176615,0.176615,4.755196
0.836888,0.000098,1.498762,0.237038,0.237038,4.958680
0.700572,0.000081,1.395302,0.185443,0.185443,4.465440
0.571803,0.000081,1.294039,0.198847,0.198847,4.423361
0.589439,0.000096,1.298480,0.167207,0.167207,4.659989
0.754812,0.000083,1.115932,0.239232,0.239232,4.275466
0.847267,0.000122,2.868738,1.651110,1.651110,8.044690
0.615829,0.000164,1.434617,0.170933,0.170933,4.620648
0.724084,0.000079,1.590150,0.170903,0.170903,4.808343
0.632482,0.000083,1.459379,0.181607,0.181607,4.541041
1.188215,0.000214,1.809729,0.218130,0.218130,6.176982
0.758341,0.000100,3.397758,0.167935,0.167935,6.439101
0.828759,0.000085,1.547379,0.358741,0.358741,5.747435
0.657660,0.000094,1.354292,0.165100,0.165100,4.482454
1.257404,0.000088,4.528448,0.215531,0.215531,8.626350
0.732759,0.000071,1.726511,0.193119,0.193119,4.989735
0.828255,0.000075,1.530513,0.235538,0.235538,5.840765
0.922232,0.000078,1.815326,0.252460,0.252460,6.052855
0.934681,0.000110,1.887879,0.250544,0.250544,6.369093
0.777063,0.000121,1.591064,0.211373,0.211373,5.100705
0.742467,0.000054,1.741512,0.213577,0.213577,5.247699
0.913403,0.000080,1.589089,0.183604,0.183604,5.195465
0.682437,0.000067,1.566758,0.321279,0.321279,5.557742
0.911877,0.000071,1.663454,0.254693,0.254693,5.655593
0.732641,0.000084,1.407590,0.181580,0.181580,4.425273
0.738679,0.000064,1.834733,0.211817,0.211817,5.062495
0.793302,0.000099,2.756458,0.183036,0.183036,6.096894
0.775738,0.000117,1.568123,0.217240,0.217240,5.196137
0.808472,0.000081,1.602360,0.209536,0.209536,5.311033
0.905250,0.000117,1.573943,0.185860,0.185860,4.878190
0.766984,0.000059,1.554551,0.186028,0.186028,4.710684
0.702681,0.000081,1.448520,0.178079,0.178079,4.487058
